,temp_max,temp_mean,humidity,wind_max,rain,et0,vpd_max,radiation,heat_humidity_ratio,wind_drought_index,dry_air_index,rain_protection,temp_3d_avg,temp_7d_avg,humidity_3d_avg,humidity_7d_avg,wind_3d_avg,wind_7d_avg,rain_3d_sum,rain_7d_sum,et0_7d_sum,vpd_7d_avg,hot_day_38,hot_day_40,hot_day_42,hot_days_38_rolling,hot_days_40_rolling,cumulative_heat_stress,heatwave_intensity,consecutive_hot_days_38,risk_score
temp_max,1.0,0.9635101256327516,-0.7614908038944935,0.3391332995539652,-0.2763048452344456,0.8091629842119338,0.952651251837096,0.44209981455724984,0.7614595896894969,0.5989247649576599,0.9511784037024658,-0.38346985126480626,0.957455290413297,0.9137435148531239,-0.7365856928099586,-0.7103411420344969,0.35065621377749695,0.39714889460043645,-0.36255434142542237,-0.4094415786704997,0.7962956745761646,0.8767728438309935,0.7325154711637076,0.6455535944645586,0.5295453834147522,0.7444957691456897,0.6682475255340334,0.9057917266509821,0.7640940372775115,0.4409490039325264,0.9015810305086973
temp_mean,0.9635101256327516,1.0,-0.7479721993283854,0.3969288068651069,-0.2356759926873619,0.8311197216950317,0.908144291809033,0.4043337129376413,0.7892451315317677,0.6452625287315089,0.9105602813113467,-0.3354062363111975,0.9536633335178994,0.9213410660808282,-0.7392259979453459,-0.719465092346886,0.4190062383043015,0.467009981451099,-0.32502231212898725,-0.382725803713891,0.8364041328946226,0.874835031614693,0.7295949509732362,0.6507617310284465,0.5372645512967328,0.7683299129813606,0.6990610059930565,0.9140020395221574,0.7152048537640678,0.4722031304695446,0.901701739100541
humidity,-0.7614908038944935,-0.7479721993283854,1.0,-0.4618934207307646,0.28749507310187555,-0.8394302485245931,-0.849766529541952,-0.37604353077912633,-0.8166991640206169,-0.6777099496222151,-0.8357596165387353,0.39632527816546953,-0.7326799858624639,-0.7016673330628679,0.9517458320278792,0.9064771648635693,-0.5007216204654981,-0.5526454965674165,0.36329793091297513,0.4104963619168657,-0.8034840655225886,-0.7871201471348988,-0.5681727253364565,-0.4903131778894248,-0.39272507243655663,-0.5803853333433344,-0.5122019680415871,-0.7662855796659555,-0.5701712916758468,-0.3625359255663345,-0.9118182669641203
wind_max,0.3391332995539652,0.3969288068651069,-0.4618934207307646,1.0,-0.03962171109368811,0.6237651146551327,0.3893189213244483,0.12889336788233305,0.43055796084945636,0.8860043249594856,0.3866481074673452,-0.06083248449215273,0.36327661202192046,0.35534015419084297,-0.4834546489210847,-0.48396593108258806,0.826638328638692,0.7258508775954293,-0.09296787457995884,-0.15810373485875448,0.5434392072407367,0.4018220713838221,0.279880932860521,0.25910627882834064,0.22293576427990808,0.3041020418353888,0.2881833358806651,0.3922371357139449,0.25719160460362145,0.2145266894546538,0.5484283012280448
rain,-0.2763048452344456,-0.2356759926873619,0.28749507310187555,-0.03962171109368811,1.0,-0.2681124061198443,-0.2404665330158705,-0.32646365248915654,-0.16064502425579572,-0.15596463156362492,-0.23057474459350139,0.858712254240797,-0.23194259549040633,-0.21527619878892396,0.23710652942371274,0.21246036072947352,-0.07034256225159961,-0.09738831125226688,0.6801977230379458,0.5035391620984179,-0.2082340971805399,-0.19643478784975174,-0.10759212327568932,-0.0842881335112608,-0.061021932368727584,-0.11799094432916449,-0.0952657974302873,-0.22123506420043226,-0.15389681482888815,-0.05760543670001779,-0.25509860035828397
et0,0.8091629842119338,0.8311197216950317,-0.8394302485245931,0.6237651146551327,-0.2681124061198443,1.0,0.8435616905032406,0.5947737941427865,0.8249611499791121,0.8840122457640942,0.8394346659585519,-0.3769124661179249,0.7925327309086164,0.764988404306377,-0.8204973665474734,-0.8007400539242174,0.6304124692742165,0.6505305194137174,-0.319884542889573,-0.3628899716412531,0.9106511262656279,0.8075003841725641,0.6270456671974266,0.5696247128760544,0.4813654631343847,0.6628702134447602,0.6140817747976538,0.7985309412218377,0.6266256488483497,0.42983452955128754,0.9189490013049577
vpd_max,0.952651251837096,0.908144291809033,-0.849766529541952,0.3893189213244483,-0.2404665330158705,0.8435616905032406,1.0,0.4091503217285327,0.8562294886074928,0.6511908818941191,0.9992332962031683,-0.3441299675776983,0.9102369782011321,0.8706547101098916,-0.8188254693931564,-0.7921146874638203,0.40909382241014247,0.4571874722365564,-0.3164341544191282,-0.3695240722646846,0.8236312724143717,0.9098495088858704,0.7883588334811228,0.7230456955977286,0.6185739083392783,0.7817958083980676,0.7247123365727023,0.88630043089415,0.7918628817677041,0.49607664186695444,0.945386557032346
radiation,0.44209981455724984,0.4043337129376413,-0.37604353077912633,0.12889336788233305,-0.32646365248915654,0.5947737941427865,0.4091503217285327,1.0,0.3291364737908795,0.35244310571483356,0.4032599602688848,-0.4304774220531109,0.4037193916446153,0.37933289426621136,-0.3419761327265138,-0.3233814503658479,0.18134494809325002,0.21547197375770422,-0.28959686718843913,-0.2739645188935092,0.5157544869261965,0.36377220686634154,0.2544538227115719,0.20802942159530138,0.1676804080531363,0.2761475122606699,0.23199792162901448,0.38159391821867217,0.31723332585009717,0.10163997269618207,0.43013375758057726
heat_humidity_ratio,0.7614595896894969,0.7892451315317677,-0.8166991640206169,0.43055796084945636,-0.16064502425579572,0.8249611499791121,0.8562294886074928,0.3291364737908795,1.0,0.685197908283924,0.8602105373942127,-0.24292168895513014,0.7478932791646863,0.7222301016106819,-0.7998812207764181,-0.7794510646497289,0.4699989358692589,0.5279402781874376,-0.21901090282013194,-0.2682762191844069,0.8080020543830948,0.8085444396001318,0.6880984932073068,0.6801569606670116,0.625124402992057,0.7020939432238511,0.6949488813331254,0.7591780493738407,0.6374375956022486,0.521785544770183,0.8707645549326518
wind_drought_index,0.5989247649576599,0.6452625287315089,-0.6777099496222151,0.8860043249594856,-0.15596463156362492,0.8840122457640942,0.6511908818941191,0.35244310571483356,0.685197908283924,1.0,0.6490892604522485,-0.2229423982862991,0.6034008460386866,0.5847435007393633,-0.6810740129429019,-0.6733571240233355,0.7911583277912546,0.744603370811401,-0.2066806470408217,-0.2556561014098835,0.7754672718777356,0.6403577397047797,0.4895314335153684,0.4582152749927793,0.39869517290553624,0.5202126399475886,0.4964888724952188,0.6218711803079907,0.4710035269782756,0.3628877979754116,0.77692448394449
dry_air_index,0.9511784037024658,0.9105602813113467,-0.8357596165387353,0.3866481074673452,-0.23057474459350139,0.8394346659585519,0.9992332962031683,0.4032599602688848,0.8602105373942127,0.6490892604522485,1.0,-0.3323334413821553,0.9102642171376673,0.8712168540090638,-0.8066148142504003,-0.7812303153043376,0.4059774507861653,0.4537849842908417,-0.3052530407301964,-0.3585653900916685,0.8213466467214618,0.9104261003590942,0.7996173216669917,0.7391916205735503,0.6375510394600268,0.7923601445769348,0.7395140797717531,0.8847138427010144,0.7985125614164295,0.5077359361170831,0.941017585657226
rain_protection,-0.38346985126480626,-0.3354062363111975,0.39632527816546953,-0.06083248449215273,0.858712254240797,-0.3769124661179249,-0.3441299675776983,-0.4304774220531109,-0.24292168895513014,-0.2229423982862991,-0.3323334413821553,1.0,-0.32527410933093864,-0.30282615955519926,0.32956882731484655,0.29698803448629174,-0.1044137472279768,-0.14408314007301817,0.6522831472246784,0.5136929777918481,-0.30202063999007606,-0.28066945731872495,-0.17089161623436835,-0.1344632745484581,-0.09779459994454627,-0.18293678734706253,-0.1491434477685941,-0.3108440297972312,-0.2302784198920206,-0.09211554861250681,-0.37160213689519245
temp_3d_avg,0.957455290413297,0.9536633335178994,-0.7326799858624639,0.36327661202192046,-0.23194259549040633,0.7925327309086164,0.9102369782011321,0.4037193916446153,0.7478932791646863,0.6034008460386866,0.9102642171376673,-0.32527410933093864,1.0,0.9642712066789847,-0.7692090822434077,-0.7480299579463192,0.3975125897136649,0.42167398742443346,-0.3557831613150157,-0.42704367117335257,0.8302251295166672,0.9239650293249265,0.7118493120793293,0.6287913726939527,0.517329046683498,0.7841328106092103,0.7034419243720765,0.9557024685900217,0.6802191343920333,0.4580317986546697,0.8756649739433775
temp_7d_avg,0.9137435148531239,0.9213410660808282,-0.7016673330628679,0.35534015419084297,-0.21527619878892396,0.764988404306377,0.8706547101098916,0.37933289426621136,0.7222301016106819,0.5847435007393633,0.8712168540090638,-0.30282615955519926,0.9642712066789847,1.0,-0.7431817966533885,-0.7743681075391528,0.41382881764715995,0.45031240790097893,-0.31902753175585924,-0.4297952765764123,0.8497166314410369,0.9576674490310129,0.6869265070257198,0.6081676363705228,0.5018893275048153,0.8143065187787277,0.7308500329119173,0.9908990606152345,0.596099731803933,0.47264996251461894,0.8416492872619832
