feature,importance
wind_max,1233
humidity,1049
temp_max,1047
et0,599
heat_humidity_ratio,465
vpd_max,384
wind_drought_index,345
rain,318
dry_air_index,93
temp_mean,57
wind_7d_avg,53
temp_3d_avg,52
radiation,51
wind_3d_avg,49
humidity_3d_avg,29
et0_7d_sum,29
rain_3d_sum,29
hot_day_38,27
temp_min,25
rain_7d_sum,24
temp_7d_avg,12
humidity_7d_avg,12
vpd_7d_avg,6
cumulative_heat_stress,5
heatwave_intensity,4
hot_days_40_rolling,3
rain_protection,0
hot_days_38_rolling,0
hot_day_42,0
hot_day_40,0
consecutive_hot_days_38,0
